set,Real_P,Real_Overlap,Real_Genes,Syn_P,Syn_Overlap,Syn_Genes,Genes
translation (GO:0006412),9.099531903780336e-05,68/84,IARS2;MRPS14;LARS2;MRPL27;MRPS36;DRG2;FTSJ1;MRPL11;RPL36;ZC3H15;MRRF;RPS3;MRPS16;MRPL9;MRPL13;MRPL51;RPS20;EEFSEC;RPS6KB2;MRPL36;MRPL28;FARSA;SRBD1;TUFM;YARS2;RPS21;MRPS33;MRPS18B;N6AMT1;UBA52;IGF2BP3;MRPS7;EEF1A2;MRPS34;ETF1;RPS9;TSFM;MRPS24;DRG1;RPL7;GSPT2;WARS2;PPA1;RPL22L1;RARS2;NDUFA7;RPS23;RPS12;RPL35A;RPS16;MRPL37;ASMT;EEF1E1;SARS2;EIF4G1;IGHMBP2;MRPS18C;RPS18;FARS2;MRPS2;MRPS17;MRPL23;EEF2;RPL8;DARS2;MARS2;ZAR1;MRPL16,2.22117022107436e-05,72/84,IARS2;MRPS14;LARS2;MRPL27;MRPS28;MRPS36;DRG2;FTSJ1;MRPL11;RPL36;ZC3H15;MRRF;RPS3;MRPS16;MRPL9;MRPL13;MRPL51;RPS20;EEFSEC;COPS5;MRPL36;MRPL28;FARSA;SRBD1;TUFM;YARS2;RPS21;MRPS33;MRPS18B;N6AMT1;RPL11;UBA52;IGF2BP3;EEF1A2;RPL3L;MRPS7;ETF1;RPS9;TSFM;MRPS24;DRG1;RPL7;GSPT2;WARS2;PPA1;RPL22L1;RARS2;NDUFA7;MRPL32;RPS23;RPS12;RPL35A;RPS16;MRPL37;EEF1E1;SARS2;EIF4G1;IGHMBP2;MRPS18C;RPS18;MRPL43;MRPS34;FARS2;MRPL23;MRPS2;RPL8;MRPS17;EEF2;DARS2;MARS2;ZAR1;MRPL16,84
translational termination (GO:0006415),0.00015776268239428958,48/57,MRPS23;MRPS14;MRPL27;MRPL40;MRPS36;MRPL11;MRRF;MRPS16;MRPL17;MRPL9;MRPL1;MRPL51;MRPL13;MRPS27;MRPL36;MRPL12;MRPL28;MRPS35;MRPL22;CHCHD1;MRPS33;MRPS25;N6AMT1;MRPS7;MRPS34;MRPL44;ETF1;MRPL48;MRPS24;GSPT2;MRPS30;MRPS26;GADD45GIP1;MRPL15;MRPL14;MRPL37;MRPL4;MRPS22;MRPL50;MRPS18C;MRPS2;MRPS9;MRPS17;MRPL23;OXA1L;MRPS18B;MRPL54;MRPL16,9.932286614967753e-07,53/57,MRPS23;MRPS14;MRPL27;MRPL40;MRPS28;MRPS36;ERAL1;MRPL11;MRRF;MRPS16;MRPL17;MRPL9;MRPL1;MRPL51;MRPL13;MRPS27;MRPL36;MRPL12;MRPL28;MRPS35;MRPL22;CHCHD1;MRPS33;MRPS25;N6AMT1;MRPS7;MRPS34;MRPL44;ETF1;MRPL48;MRPS24;MRPS31;GSPT2;MRPS30;MRPS26;GADD45GIP1;MRPL32;MRPL15;MRPL14;MRPL37;MRPL4;MRPS22;MRPL50;MRPS18C;MRPS2;MRPS9;MRPL43;MRPS17;MRPL23;OXA1L;MRPS18B;MRPL54;MRPL16,57
cellular macromolecule biosynthetic process (GO:0034645),0.00018696177442691984,98/128,RPL36;THAP1;MRPL13;HOXD3;SRBD1;RMI1;RAD1;DRG1;E2F1;CLSPN;HUS1;RPS12;RPA3;POLR2J;RECQL4;ATR;RNASEH2A;BARD1;MRPS36;POLR2E;MRPL11;MRRF;POLR2C;MRPL28;WRN;NKX2-8;EPC1;GOLPH3;EEF1A2;TSFM;EXT1;RPA1;PWP1;TIPIN;RPS23;RPL35A;NT5M;EIF4G1;IGHMBP2;RPS18;CHEK1;RPA4;ZAR1;POLR2G;MRPL27;RBMS1;POLA1;PTH;MRPS16;RPS6KB2;BLM;TUFM;POLA2;YARS2;MRPS33;IGF2BP3;POLR2H;BRIP1;RPS9;RPL7;RECQL5;UPF1;RPS16;MRPL37;POLR2B;BCL3;MRPS18C;MRPL23;RPL8;MRPS18B;MRPS14;POLR2I;POLR2F;FAM111B;RPS3;GRWD1;MRPL51;MRPL9;RPS20;TYMS;EEFSEC;TOP1;MRPL36;CDC6;RFC2;RPS21;MRPS7;TOPBP1;POLE2;FUT9;TOP1MT;GSPT2;PPP5C;NR4A2;ASMT;EEF2;MRPS17;RFC5,0.0001170233615848882,103/128,GAL3ST4;RPL36;MRPL13;HOXD3;SRBD1;RMI1;RPL11;RAD1;DRG1;E2F1;CLSPN;HUS1;MRPL32;TAF1B;RPS12;RPA3;POLR2J;RECQL4;ATR;RNASEH2A;BARD1;MRPS36;POLR2E;MRPL11;MRRF;POLR2C;MRPL28;WRN;GAL3ST2;EPC1;GOLPH3;EEF1A2;TSFM;NFKBIB;RPA1;PWP1;TIPIN;RPS23;RPL35A;NT5M;EIF4G1;IGHMBP2;RPS18;MRPL43;CHEK1;RPA4;ZAR1;POLR2G;MRPL27;RBMS1;POLA1;MRPS16;BLM;TUFM;POLA2;YARS2;MRPS33;IGF2BP3;RPL3L;POLR2H;BRIP1;RPS9;ST3GAL2;RPL7;RECQL5;UPF1;RPS16;MRPL37;POLR2B;BCL3;MRPS18C;MRPL23;RPL8;MRPS18B;A4GNT;MRPS14;POLR2I;POLR2F;FAM111B;INHA;RPS3;GRWD1;MRPL51;MRPL9;RPS20;TYMS;EEFSEC;TOP1;COPS5;MRPL36;CDC6;RFC2;RPS21;MRPS7;TOPBP1;POLE2;TOP1MT;GSPT2;PPP5C;NR4A2;EEF2;MRPS17;RFC5,128
translational elongation (GO:0006414),0.0001974108797361148,50/60,MRPS23;MRPS14;MRPL27;MRPL40;MRPS36;MRPL11;MRPS16;MRPL17;MRPL51;MRPL13;MRPL9;MRPL1;MRPS27;EEFSEC;MRPL36;MRPL12;MRPL28;MRPS35;TUFM;MRPL22;CHCHD1;ZNF598;MRPS25;MRPS33;MRPS7;MRPS34;MRPL44;EEF1A2;MRPL48;TSFM;MRPS24;MRPS30;MRPS26;GADD45GIP1;MRPL15;MRPL14;MRPL37;MRPL4;MRPS22;MRPL50;MRPS18C;EEF2;MRPS9;MRPS2;MRPS17;MRPL23;OXA1L;MRPS18B;MRPL54;MRPL16,2.09782567992666e-06,55/60,MRPS23;MRPS14;MRPL27;MRPL40;MRPS28;MRPS36;ERAL1;MRPL11;MRPS16;MRPL17;MRPL51;MRPL13;MRPL9;MRPL1;MRPS27;EEFSEC;MRPL36;MRPL12;MRPL28;MRPS35;TUFM;MRPL22;CHCHD1;ZNF598;MRPS25;MRPS33;MRPS7;MRPS34;MRPL44;EEF1A2;MRPL48;TSFM;MRPS24;MRPS31;MRPS30;MRPS26;GADD45GIP1;MRPL32;MRPL15;MRPL14;MRPL37;MRPL4;MRPS22;MRPL50;MRPS18C;EEF2;MRPS9;MRPL43;MRPS2;MRPS17;MRPL23;OXA1L;MRPS18B;MRPL54;MRPL16,60
regulation of posttranscriptional gene silencing (GO:0060147),0.00020671477639098857,22/23,POLR2G;POLR2I;POLR2F;POLR2E;NUP214;POLR2C;NUP133;NUP85;NUP205;NUP98;POLR2H;NUP107;NUP37;NUP62;NUP54;RAE1;NUP35;POLR2J;IPO8;POLR2B;EIF4G1;AAAS,0.004691362785851167,21/23,POLR2G;POLR2I;POLR2F;POLR2E;NUP214;POLR2C;NUP133;NUP85;NUP205;NUP98;POLR2H;NUP107;NUP37;NUP62;NUP54;RAE1;NUP35;POLR2J;POLR2B;EIF4G1;AAAS,23
regulation of gene silencing by RNA (GO:0060966),0.00020671477639098857,22/23,POLR2G;POLR2I;POLR2F;POLR2E;NUP214;POLR2C;NUP133;NUP85;NUP205;NUP98;POLR2H;NUP107;NUP37;NUP62;NUP54;RAE1;NUP35;POLR2J;IPO8;POLR2B;EIF4G1;AAAS,0.004691362785851167,21/23,POLR2G;POLR2I;POLR2F;POLR2E;NUP214;POLR2C;NUP133;NUP85;NUP205;NUP98;POLR2H;NUP107;NUP37;NUP62;NUP54;RAE1;NUP35;POLR2J;POLR2B;EIF4G1;AAAS,23
mitochondrial translation (GO:0032543),0.0002404279900396769,52/63,IARS2;MRPS23;LARS2;MRPL27;MRPS14;MRPL40;MTIF2;MRPS36;MRPL11;MRRF;MRPS16;MRPL17;MRPL51;MRPL1;MRPL9;MRPL13;MRPS27;MRPL36;MRPL12;MRPL28;MRPS35;TUFM;MRPL22;CHCHD1;MRPS33;MRPS25;MRPS7;MRPS34;MRPL44;MRPL48;TSFM;MRPS24;MRPS30;MRPS26;RARS2;GADD45GIP1;NDUFA7;MRPL15;MRPL14;MRPL37;MRPL4;MRPS22;MRPL50;MRPS18C;MRPS2;MRPS9;MRPS17;MRPL23;OXA1L;MRPS18B;MRPL54;MRPL16,3.981796531046188e-06,57/63,IARS2;MRPS23;LARS2;MRPL27;MRPS14;MRPL40;MRPS28;MTIF2;MRPS36;ERAL1;MRPL11;MRRF;MRPS16;MRPL17;MRPL51;MRPL1;MRPL9;MRPL13;MRPS27;MRPL36;MRPL12;MRPL28;MRPS35;TUFM;MRPL22;CHCHD1;MRPS33;MRPS25;MRPS7;MRPS34;MRPL44;MRPL48;TSFM;MRPS24;MRPS31;MRPS30;MRPS26;RARS2;GADD45GIP1;NDUFA7;MRPL32;MRPL15;MRPL14;MRPL37;MRPL4;MRPS22;MRPL50;MRPS18C;MRPS2;MRPS9;MRPL43;MRPS17;MRPL23;OXA1L;MRPS18B;MRPL54;MRPL16,63
DNA metabolic process (GO:0006259),0.00030312660024293584,87/113,UBE2T;FANCA;RAD51AP1;NTHL1;FANCC;SMUG1;XRCC2;PURA;PRIM1;TOP2A;RAD1;POLQ;CHRNA4;FANCG;DDX23;UBE2U;HUS1;RPA3;RECQL4;PSME4;ATR;RNASEH2A;KPNA2;BARD1;SUPV3L1;MBD4;WRN;NEIL1;NEIL3;GMNN;MSH2;RPA1;FBXO6;TOP3B;GTF2H4;RAD18;PARP2;IGHMBP2;CHEK1;RPA4;DNASE1L3;POLA1;ERCC4;NOC3L;DCLRE1B;ENDOG;BLM;POLA2;PNKP;POLH;UBA52;RECQL5;CHD1L;UPF1;RNASEH1;SMARCAD1;TRIM28;TRRAP;GLRX2;TREX2;DOT1L;XPC;LIG1;GTF2H1;TYMS;TOP1;THAP9;CDC6;BTG2;RFC2;LONP1;TOPBP1;POLE2;TOP1MT;DDB2;DNASE1L2;TERF2IP;PARG;MGMT;ALKBH1;GADD45A;ERCC5;NUDT15;RFC5;HELLS;PARP1;REXO4,4.7948815403848896e-05,93/113,UBE2T;FANCA;RAD51AP1;NTHL1;DNTT;FANCC;SMUG1;XRCC2;PRIM1;TOP2A;RAD1;POLQ;CHRNA4;RAD52;POLB;FANCG;DDX23;HUS1;EID3;RPA3;RECQL4;PSME4;ATR;RNASEH2A;KPNA2;BARD1;POLI;SUPV3L1;MBD4;WRN;NEIL1;NEIL3;GMNN;MSH2;RPA1;FBXO6;TOP3B;RAD18;PARP2;UVRAG;IGHMBP2;CHEK1;RPA4;INTS3;DNASE1L3;POLA1;ERCC4;NOC3L;DCLRE1B;ENDOG;BLM;POLA2;PNKP;POLH;ERCC3;UBA52;RECQL5;CHD1L;UPF1;RNASEH1;SMARCAD1;TRIM28;GTF2H3;RTEL1;GLRX2;TREX2;DOT1L;LIG1;GTF2H1;TYMS;TOP1;THAP9;CDC6;BTG2;RFC2;LONP1;TOPBP1;POLE2;TOP1MT;TCF7L2;DDB2;DNASE1L2;TERF2IP;PARG;MGMT;ALKBH1;GADD45A;ERCC5;NUDT15;RFC5;HELLS;PARP1;REXO4,113
rRNA processing (GO:0006364),0.00032645898603411553,51/62,NAT10;RPL36;POP5;SRFBP1;MPHOSPH6;MDN1;LYAR;EXOSC5;MRPL1;RRP12;NOL11;TEX10;SART1;TFB1M;WDR12;RIOK2;UBA52;WDR18;HEATR1;BOP1;EXOSC2;RPS9;NVL;EXOSC4;PIH1D1;DHX37;RPL7;UTP18;PDCD11;RCL1;RPL35A;LSM6;NOC4L;IMP4;EXOSC9;DDX27;RPS16;XRN2;DKC1;RIOK3;BYSL;UTP3;IMP3;UTP6;PWP2;RRP9;RPL8;TBL3;EXOSC1;WDR46;DDX49,9.538809262302531e-05,54/62,NAT10;RPL36;POP5;SRFBP1;MPHOSPH6;MDN1;LYAR;EXOSC5;MRPL1;RRP12;NOL11;FCF1;TEX10;SART1;TFB1M;WDR12;RIOK2;UBA52;RPL11;WDR18;BOP1;EXOSC2;RPS9;EXOSC4;PIH1D1;DHX37;RPL7;UTP18;PDCD11;RCL1;PELP1;RPL35A;LSM6;NOC4L;IMP4;EXOSC9;DDX27;WDR75;RPS16;XRN2;DKC1;RIOK3;BYSL;UTP3;IMP3;UTP6;NOL9;PWP2;RRP9;RPL8;TBL3;EXOSC1;WDR46;DDX49,62
mitochondrial translational termination (GO:0070126),0.0004145605647765576,45/54,MRPS23;MRPS14;MRPL27;MRPL40;MRPS36;MRPL11;MRRF;MRPS16;MRPL17;MRPL9;MRPL1;MRPL51;MRPL13;MRPS27;MRPL36;MRPL12;MRPL28;MRPS35;MRPL22;CHCHD1;MRPS33;MRPS25;MRPS7;MRPS34;MRPL44;MRPL48;MRPS24;MRPS30;MRPS26;GADD45GIP1;MRPL15;MRPL14;MRPL37;MRPL4;MRPS22;MRPL50;MRPS18C;MRPS2;MRPS9;MRPS17;MRPL23;OXA1L;MRPS18B;MRPL54;MRPL16,2.89686755657096e-06,50/54,MRPS23;MRPS14;MRPL27;MRPL40;MRPS28;MRPS36;ERAL1;MRPL11;MRRF;MRPS16;MRPL17;MRPL9;MRPL1;MRPL51;MRPL13;MRPS27;MRPL36;MRPL12;MRPL28;MRPS35;MRPL22;CHCHD1;MRPS33;MRPS25;MRPS7;MRPS34;MRPL44;MRPL48;MRPS24;MRPS31;MRPS30;MRPS26;GADD45GIP1;MRPL32;MRPL15;MRPL14;MRPL37;MRPL4;MRPS22;MRPL50;MRPS18C;MRPS2;MRPS9;MRPL43;MRPS17;MRPL23;OXA1L;MRPS18B;MRPL54;MRPL16,54
ribosome biogenesis (GO:0042254),0.0004466490998061222,55/68,NIP7;RPL36;POP5;MPHOSPH6;MDN1;LYAR;EXOSC5;RRP12;NOL11;TEX10;TSC1;MRPL36;MRPL22;WDR12;RRS1;RIOK2;UBA52;WDR18;HEATR1;BOP1;EXOSC2;RPS9;NVL;EXOSC4;PIH1D1;DDX31;DHX37;UTP18;GTF3A;RPL7;PDCD11;RCL1;PAK1IP1;RPL35A;RPS16;NOC4L;IMP4;EXOSC9;DDX27;XRN2;LTV1;DKC1;HEATR3;BYSL;UTP3;IMP3;UTP6;PWP2;ZNF622;RRP9;RPL8;TBL3;EXOSC1;WDR46;DDX49,0.0005646931034685317,57/68,NIP7;RPL36;POP5;MPHOSPH6;MDN1;LYAR;EXOSC5;RRP12;FCF1;NOL11;TEX10;TSC1;MRPL36;MRPL22;WDR12;RRS1;RIOK2;UBA52;RPL11;WDR18;BOP1;EXOSC2;RPS9;EXOSC4;PIH1D1;DDX31;DHX37;UTP18;GTF3A;RPL7;PDCD11;RCL1;PAK1IP1;PELP1;RPL35A;RPS16;NOC4L;IMP4;EXOSC9;DDX27;WDR75;XRN2;LTV1;DKC1;BYSL;UTP3;IMP3;UTP6;NOL9;PWP2;RRP9;ZNF622;RPL8;TBL3;EXOSC1;WDR46;DDX49,68
DNA repair (GO:0006281),0.0005596393947793282,91/120,UBE2T;FANCA;RAD51AP1;TRIP13;GTF2H5;FANCC;DCLRE1A;SMUG1;XRCC2;UIMC1;NSMCE1;RAD1;POLQ;CHRNA4;FANCG;UBE2U;HUS1;EME1;RPA3;RECQL4;PSME4;PIAS4;ATR;TNKS1BP1;RNASEH2A;KPNA2;BARD1;ASCC2;FANCF;MBD4;WRN;NEIL1;APEX2;NEIL3;MSH2;ACTR5;RPA1;FBXO6;GTF2H4;RAD18;PARP2;DDX1;IGHMBP2;CHEK1;RPA4;ERCC4;POLA1;DCLRE1B;BRCA2;BLM;MLH3;PNKP;POLH;UBA52;BRIP1;EYA1;SMARCA5;RECQL5;CHD1L;UPF1;XRCC4;TRIM28;CETN2;TRRAP;POLN;FANCB;CDCA5;DOT1L;XPC;LIG1;GTF2H1;BTG2;RNF168;ERCC6;RFC2;TOPBP1;POLE2;PPP5C;WDR48;DDB2;SLC30A9;MGMT;APTX;UBE2NL;ALKBH1;GADD45A;ERCC5;RAD23A;RFC5;PARP1;REXO4,0.008436731796039015,91/120,UBE2T;FANCA;RAD51AP1;TRIP13;GTF2H5;FANCC;DCLRE1A;SMUG1;XRCC2;UIMC1;NSMCE1;RAD1;POLQ;CHRNA4;RAD52;POLB;FANCG;NEIL2;HUS1;EME1;EID3;RPA3;RECQL4;PSME4;ATR;MDC1;RNASEH2A;KPNA2;BARD1;ASCC2;POLI;FANCF;MBD4;WRN;NEIL1;APEX2;NEIL3;MSH2;RPA1;FBXO6;RAD18;PARP2;UVRAG;DDX1;IGHMBP2;CHEK1;RPA4;INTS3;ERCC4;POLA1;DCLRE1B;BRCA2;BLM;MLH3;PNKP;POLH;UBA52;ERCC3;BRIP1;EYA1;SMARCA5;RECQL5;CHD1L;UPF1;XRCC4;TRIM28;GTF2H3;CETN2;FANCB;CDCA5;DOT1L;LIG1;GTF2H1;BTG2;RNF168;RFC2;TOPBP1;POLE2;PPP5C;DDB2;SLC30A9;MGMT;APTX;UBE2NL;ALKBH1;GADD45A;ERCC5;RAD23A;RFC5;PARP1;REXO4,120
tRNA aminoacylation for protein translation (GO:0006418),0.0006643898280370033,15/15,IARS2;LARS2;WARS2;FARSA;AARS2;EEF1E1;SARS2;NARS2;YARS2;FARS2;TARS2;PPA1;RARS2;DARS2;MARS2,0.06483248649610485,13/15,IARS2;LARS2;WARS2;FARSA;EEF1E1;SARS2;NARS2;YARS2;FARS2;PPA1;RARS2;DARS2;MARS2,15
mitochondrial translational elongation (GO:0070125),0.0006830832757513568,46/56,MRPS23;MRPS14;MRPL27;MRPL40;MRPS36;MRPL11;MRPS16;MRPL17;MRPL9;MRPL1;MRPL51;MRPL13;MRPS27;MRPL36;MRPL12;MRPL28;MRPS35;TUFM;MRPL22;CHCHD1;MRPS33;MRPS25;MRPS7;MRPS34;MRPL44;MRPL48;TSFM;MRPS24;MRPS30;MRPS26;GADD45GIP1;MRPL15;MRPL14;MRPL37;MRPL4;MRPS22;MRPL50;MRPS18C;MRPS2;MRPS9;MRPS17;MRPL23;OXA1L;MRPS18B;MRPL54;MRPL16,8.24484052527578e-06,51/56,MRPS23;MRPS14;MRPL27;MRPL40;MRPS28;MRPS36;ERAL1;MRPL11;MRPS16;MRPL17;MRPL9;MRPL1;MRPL51;MRPL13;MRPS27;MRPL36;MRPL12;MRPL28;MRPS35;TUFM;MRPL22;CHCHD1;MRPS33;MRPS25;MRPS7;MRPS34;MRPL44;MRPL48;TSFM;MRPS24;MRPS31;MRPS30;MRPS26;GADD45GIP1;MRPL32;MRPL15;MRPL14;MRPL37;MRPL4;MRPS22;MRPL50;MRPS18C;MRPS2;MRPS9;MRPL43;MRPS17;MRPL23;OXA1L;MRPS18B;MRPL54;MRPL16,56
gene expression (GO:0010467),0.000714392686877595,107/144,RPL36;SYMPK;THAP1;MRPL13;DHX38;HOXD3;SRBD1;NUP98;DRG1;E2F1;SORL1;CPSF3;ADARB2;RBM4;APOBEC1;RPS12;POLR2J;AAAS;MRPS36;POLR2E;MRPL11;NUP214;MRRF;DDX20;POLR2C;DDX19B;MRPL28;NUP85;NKX2-8;EPC1;THOC2;NOVA1;GOLPH3;EEF1A2;DHX8;PRPF4;PWP1;RPS23;RPL35A;EIF4G1;IGHMBP2;RPS18;NXF3;ZAR1;POLR2G;MRPL27;RBMS1;NXT1;MRPS16;TASP1;RPS6KB2;NUP205;RNASEL;YARS2;MRPS33;IGF2BP3;POLR2H;DNAJB11;RPS9;RPL7;UPF1;NUP54;RAE1;NUP35;RPS16;MAGOH;MRPL37;THOC3;POLR2B;DKC1;BCL3;THOC7;MRPS18C;MRPL23;RPL8;GALNT2;THOC1;MRPS18B;MRPS14;ELAVL4;POLR2I;POLR2F;RPS3;MRPL51;NUP133;RPS20;SLBP;MRPL9;MRPL36;DUOXA2;RPS21;MRPS7;MRPL44;NUP107;NUP37;GSPT2;PPP5C;NUP62;CPSF1;NR4A2;XRN2;ASMT;EIF4A3;NXF5;MRPS17;THOC6;SMG5,0.0026203803137524483,110/144,RPL36;SYMPK;MRPL13;DHX38;HOXD3;SRBD1;NUP98;RPL11;DRG1;E2F1;SORL1;CPSF3;RBM4;MRPL32;TAF1B;RPS12;POLR2J;AAAS;MRPS36;POLR2E;MRPL11;NUP214;MRRF;DDX20;POLR2C;DDX19B;MRPL28;NUP85;EPC1;THOC2;NOVA1;GOLPH3;EEF1A2;NFKBIB;DHX8;PRPF4;PWP1;RPS23;RPL35A;EIF4G1;IGHMBP2;DUSP11;RPS18;MRPL43;NOL9;NXF3;ZAR1;POLR2G;MRPL27;RBMS1;NXT1;MRPS16;DDX25;NUP205;RNASEL;YARS2;MRPS33;IGF2BP3;RPL3L;POLR2H;DNAJB11;RPS9;RPL7;UPF1;RBMS2;NUP54;RAE1;NUP35;RPS16;MAGOH;MRPL37;THOC3;POLR2B;DKC1;BCL3;THOC7;MRPS18C;MRPL23;RPL8;THOC1;GALNT2;MRPS18B;MRPS14;ELAVL4;POLR2I;POLR2F;RPS3;MRPL51;NUP133;RPS20;SLBP;MRPL9;COPS5;MRPL36;DUOXA2;RPS21;MRPS7;MRPL44;NUP107;NUP37;GSPT2;PPP5C;NUP62;YTHDC1;NR4A2;XRN2;EIF4A3;NXF5;MRPS17;THOC6,144
mitotic spindle organization (GO:0007052),0.000776693893240339,43/52,ERCC6L;TPX2;DCTN2;EFHC1;INCENP;NUP133;CENPQ;CENPP;KNTC1;NUP85;CENPM;NUP98;RCC1;TAOK1;DSN1;NUP107;EML1;KIF4A;NUP37;SMC3;DYNC1H1;CDCA8;PLK2;PMF1;SPC24;DYNLL2;TTK;KIFC2;ITGB3BP;BUB1B;SPC25;KIF18A;NEK6;CDC20;AURKB;TUBG1;BUB1;CENPH;CENPK;KIF2C;AAAS;CENPE;DLGAP5,0.0005155751343345358,45/52,ERCC6L;TPX2;DCTN2;EFHC1;INCENP;NUP133;CENPQ;CENPP;KNTC1;NUP85;CENPM;RANGAP1;NUP98;RCC1;TAOK1;DSN1;TUBG2;NUP107;EML1;KIF4A;NUP37;SMC3;NSL1;DYNC1H1;CDCA8;PLK2;SPC24;DYNLL2;TTK;KIFC2;CEP192;ITGB3BP;BUB1B;SPC25;KIF18A;CDC20;AURKB;TUBG1;BUB1;CENPH;CENPK;KIF2C;AAAS;CENPE;DLGAP5,52
microtubule cytoskeleton organization involved in mitosis (GO:1902850),0.0008746134056865657,40/48,ERCC6L;DCTN2;EFHC1;INCENP;NUP133;CENPQ;CENPP;KNTC1;NUP85;CENPM;NUP98;RCC1;TAOK1;DSN1;NUP107;EML1;KIF4A;NUP37;DYNC1H1;CDCA8;PLK2;TACC3;PMF1;SPC24;DYNLL2;TTK;ITGB3BP;BUB1B;SPC25;KIF18A;NEK6;CDC20;AURKB;TUBG1;BUB1;CENPH;CENPK;KIF2C;CENPE;DLGAP5,0.0016199870413569134,41/48,ERCC6L;DCTN2;EFHC1;INCENP;NUP133;CENPQ;CENPP;KNTC1;NUP85;CENPM;RANGAP1;NUP98;RCC1;TAOK1;DSN1;TUBG2;NUP107;EML1;KIF4A;NUP37;NSL1;DYNC1H1;CDCA8;PLK2;TACC3;SPC24;DYNLL2;TTK;ITGB3BP;BUB1B;SPC25;KIF18A;CDC20;AURKB;TUBG1;BUB1;CENPH;CENPK;KIF2C;CENPE;DLGAP5,48
nuclear-transcribed mRNA catabolic process (GO:0000956),0.0008746134056865657,40/48,POLR2G;RPL36;RPS3;EXOSC5;RPS20;RC3H1;PNRC2;ZFP36;ZC3H12A;RPS21;UBA52;ETF1;RPS9;EXOSC4;RPL7;GSPT2;UPF1;RPS23;RPS12;RPL35A;CNOT1;CNOT8;EXOSC9;RPS16;MAGOH;XRN2;EIF4A3;PPP2R2A;EIF4G1;RPS18;DHX34;CNOT3;PAN3;TNKS1BP1;PNLDC1;RPL8;SMG5;DCP1B;LSM1;CNOT10,0.00047525108500216784,42/48,POLR2G;RPL36;RPS3;EXOSC5;RPS20;RC3H1;PNRC2;ZFP36;ZC3H12A;RPS21;UBA52;RPL11;ETF1;RPS9;EXOSC4;RPL7;GSPT2;DCP1A;UPF1;DCPS;RPS23;RPS12;RPL35A;CNOT1;RPS16;EXOSC9;MAGOH;XRN2;EIF4A3;PELO;PPP2R2A;EIF4G1;RPS18;DHX34;CNOT3;PAN3;PNLDC1;RPL8;CNOT4;DCP1B;LSM1;CNOT10,48
DNA-dependent DNA replication (GO:0006261),0.001245328751609575,44/54,PSMB8;POLA1;PSMD11;NOC3L;PSMB4;REV3L;BLM;WRN;CDC6;PURA;CDK2AP1;PRIM1;POLA2;RFC2;PNKP;UBA52;PSMA2;GMNN;PSMC5;TOPBP1;POLE2;RECQL5;PSMD4;GINS1;RPA1;PSMA4;DDX23;PSMB10;PSMD14;RPA3;PSMD6;PSMD8;PSMD7;POLG2;RECQL4;PSME4;SSBP1;PSMB3;RFC5;GINS2;PSMA5;PSMC3;RPA4;PSMD2,0.00028618012859305496,47/54,PSMB8;POLA1;PSMD11;NOC3L;PSMA8;PSMB4;REV3L;BLM;WRN;CDC6;CDK2AP1;PRIM1;PSMB6;POLA2;PNKP;RFC2;UBA52;PSMA2;GMNN;TOPBP1;PSMC5;POLE2;POLB;RECQL5;PSMD4;GINS1;RPA1;PSMA4;DDX23;PSME2;PSMD14;RPA3;PSMD6;PSME3;PSMD8;PSMD7;POLG2;RECQL4;PSME4;SSBP1;PSMB3;RFC5;GINS2;PSMA5;PSMC3;RPA4;PSMD2,54
DNA replication (GO:0006260),0.0013461798136152302,36/43,RBMS1;BARD1;POLA1;FAM111B;GRWD1;TOP1;REV3L;BLM;WRN;CDC6;RMI1;CDK2AP1;POLA2;RFC2;PNKP;RAD1;BRIP1;TOPBP1;POLE2;TOP1MT;RECQL5;UPF1;RPA1;CLSPN;TIPIN;HUS1;RPA3;NT5M;POLG2;RECQL4;IGHMBP2;ATR;RFC5;CHEK1;RNASEH2A;RPA4,0.0020812161055171704,37/43,RBMS1;BARD1;POLA1;FAM111B;GRWD1;TOP1;REV3L;BLM;WRN;CDC6;RMI1;CDK2AP1;POLA2;RFC2;PNKP;RAD1;BRIP1;TOPBP1;POLE2;TOP1MT;POLB;RECQL5;UPF1;RPA1;CLSPN;TIPIN;HUS1;RPA3;NT5M;POLG2;RECQL4;IGHMBP2;ATR;RFC5;CHEK1;RNASEH2A;RPA4,43
